Sum - Taux,Algos,,,,,,,
Longueur,distance1gram,distance2gram,distance3gram,distance4gram,distance5gram,distanceMots,nb10mots,tfidf
5,"0,4833333333","0,4944444444","0,3611111111","0,3972222222","0,05","0,0861111111","0,0694444444","0,5"
10,"0,45","0,5694444444","0,5416666667","0,5583333333","0,3111111111","0,2277777778","0,1083333333","0,5333333333"
20,"0,4805555556","0,6444444444","0,7222222222","0,5944444444","0,5611111111","0,5027777778","0,1888888889","0,6944444444"
50,"0,6222222222","0,7444444444","0,7694444444","0,825","0,625","0,5444444444","0,475","0,8583333333"
100,"0,6916666667","0,7944444444","0,8305555556","0,8166666667","0,7055555556","0,6944444444","0,4083333333","0,8055555556"
500,"0,8518518519","0,8734567901","0,8580246914","0,8364197531","0,8641975309","0,7438271605","0,7777777778","0,9104938272"
1000,"0,8033333333","0,9033333333","0,8833333333","0,8533333333","0,7966666667","0,82","0,7833333333","0,8993055556"
1500,"0,8260869565","0,8768115942","0,8768115942","0,8876811594","0,8297101449","0,7789855072","0,6992753623","0,9302325581"
2000,"0,837398374","0,9024390244","0,9430894309","0,9146341463","0,8943089431","0,8048780488","0,7073170732","0,95"
2500,"0,9254385965","0,9736842105","0,9429824561","0,9342105263","0,8245614035","0,7938596491","0,7631578947","0,962962963"
3000,"0,8571428571","0,9380952381","0,9","0,8285714286","0,8857142857","0,7428571429","0,7333333333","0,9696969697"
3500,"0,9090909091","0,9141414141","0,8535353535","0,8787878788","0,8636363636","0,7373737374","0,702020202","0,96875"
4000,"0,9086021505","0,9677419355","0,9301075269","0,8978494624","0,8010752688","0,811827957","0,7741935484","0,9655172414"
4500,"0,8666666667","0,9055555556","0,9444444444","0,8777777778","0,9111111111","0,7722222222","0,8055555556","0,9252873563"
5000,"0,8928571429",1,"0,9107142857","0,9107142857","0,8392857143","0,8571428571","0,7619047619",1
5500,"0,8928571429","0,9345238095","0,9880952381","0,9880952381","0,7916666667","0,8452380952","0,8452380952","0,9691358025"
6000,1,"0,9691358025","0,9691358025","0,987654321","0,8641975309","0,7592592593","0,8395061728",1
6500,"0,9551282051","0,9294871795","0,8974358974","0,8974358974","0,9102564103","0,8525641026","0,8141025641",1
7000,"0,9294871795","0,9871794872","0,9102564103","0,9166666667","0,8717948718","0,8846153846","0,8141025641","0,8974358974"
7500,"0,9666666667","0,9666666667","0,98",1,"0,9066666667","0,8466666667","0,8466666667",1
8000,"0,9533333333",1,"0,9666666667",1,"0,9333333333","0,8866666667","0,9066666667",1
8500,"0,88","0,9866666667","0,9866666667",1,"0,98","0,8866666667","0,8733333333",1
9000,"0,9097222222","0,8888888889",1,1,"0,8680555556","0,8819444444","0,8263888889",1
9500,"0,9492753623",1,"0,9637681159","0,9637681159","0,9637681159","0,9202898551","0,8405797101",1
10000,1,1,"0,9637681159",1,1,"0,9202898551","0,9420289855","0,9126984127"
